order,family,genus,species,model,GHMI_estimate,GHMI_se,GHMI_tval,GHMI_pval,adj_r2,dev_exp,dev_exp_diff_comp_null,sample_size,model_weight_comp_null,spatial_pval,delta_AIC
Lepidoptera,Papilionidae,Papilio,Papilio polyxenes,onset,4.235434973291758,36.72139936715879,0.11533969419149243,0.9086472532417753,-0.047604779066249714,0.012837831984064012,2.678458444458527e-4,53,0.22892617152152459,0.7356267340936772,2.428769138578218
Lepidoptera,Papilionidae,Papilio,Papilio polyxenes,offset,20.402041899909563,20.12165184852176,1.0139347432059063,0.3157678012210343,0.1590741670075898,0.23436799256391924,0.017973750282118423,53,0.31285093685078125,0.05862873063174645,1.5736488172106533
Lepidoptera,Crambidae,Udea,Udea rubigalis,duration,25.35418480663973,41.619593244027115,0.6091886736610128,0.5463056530978756,0.4142597321578072,0.5197935073828531,0.0036672234094583533,44,0.1789616352861698,0.004830157915307998,3.046796765502279
Lepidoptera,Crambidae,Udea,Udea rubigalis,onset,-23.65581181562469,23.50642465138396,-1.0063551631716112,0.32206806602770494,0.8449663565734006,0.8886968464257549,-0.0040460231306123084,44,0.22430225720739463,0,2.4815368655573025
Lepidoptera,Crambidae,Udea,Udea rubigalis,offset,-6.084018921775959,36.44114503178735,-0.16695465843537333,0.8683625764818188,0.39969930419029776,0.509329152642794,-0.0036347538668281,44,0.14061072324835328,0.005346010325716299,3.6204534988535215
Hymenoptera,Apidae,Bombus,Bombus pensylvanicus,duration,-46.14741742440743,28.261734146122183,-1.6328586627349388,0.11422340122991577,0.4396804281717347,0.6058098097936264,0.005436311091567281,39,0.310738639276115,0.03954336732991398,1.5933367236517597
Hymenoptera,Apidae,Bombus,Bombus pensylvanicus,onset,59.7124937279349,21.178853237438997,2.81943942188418,0.008902404509677015,0.5497121684861069,0.680151013190903,0.04272663408260846,39,0.9523476062269357,0.008297214174959378,0
Hymenoptera,Apidae,Bombus,Bombus pensylvanicus,offset,13.202182183059055,20.366249228941033,0.6482382708102369,0.5220340299549884,0.2714401779336174,0.45508782444385715,0.0030143981127540576,39,0.16209064387942526,0.21077728631302595,3.285508437674764
Lepidoptera,Geometridae,Costaconvexa,Costaconvexa centrostrigaria,duration,-36.45600739578644,70.72288073713496,-0.5154768444923402,0.6097795986955693,0.2848268807228307,0.40057358089448614,0.0018294235798160252,39,0.17963947453330262,0.044218074349339664,3.037583971463107
Lepidoptera,Geometridae,Costaconvexa,Costaconvexa centrostrigaria,onset,17.331519927868055,30.485911885275687,0.5685091524599912,0.5736197727526073,0.6624877358273544,0.7130231657411239,0.0027691519100317974,39,0.19695813362607292,0,2.8108313271034717
Lepidoptera,Geometridae,Costaconvexa,Costaconvexa centrostrigaria,offset,-21.123245006794253,53.743293275603776,-0.3930396467978068,0.6968181418897406,0.11202860399432368,0.2289522015499791,-0.0031745451007244296,39,0.20985406897123868,0.2836931201993722,2.6516105434561155
Lepidoptera,Geometridae,Scopula,Scopula limboundata,duration,64.88971291833474,34.51996280434498,1.879773546863937,0.06922075809799719,0.40803011118460975,0.4987891848016282,0.050032477054092805,39,0.4408458390691579,0.006465159342983862,0.475459943829037
